subset,relationship,c,n_valid,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
control_only,S_het vs dominant_real_eigenvalue,0.005,29.0,-0.6016586664096065,0.0005554128552156939,-0.447783251231527,0.014857089682693374,-7.153349284713241e-07,-9.939397435651935e-05,0.3619931508657862
control_only,S_het vs dominant_real_eigenvalue,0.0075,29.0,-0.4929042003483134,0.006594101985407782,-0.4310344827586206,0.019574157124669908,-7.592793451772072e-07,-0.00011128179845496428,0.24295455072101022
control_only,S_het vs dominant_real_eigenvalue,0.01,29.0,-0.38951236262859923,0.03674206099040608,-0.38472906403940876,0.03932421002115053,-7.617233221310516e-07,-0.00011847830439712674,0.1517198806405133
control_only,S_het vs dominant_real_eigenvalue,0.015,29.0,-0.35297768188295775,0.06035399953085055,-0.3290640394088669,0.0813279351390293,-1.0699508549657086e-06,-0.00016805499311682586,0.1245932439074666
control_only,S_het vs dominant_real_eigenvalue,0.02,29.0,-0.34649982280841357,0.06556355520078364,-0.3487684729064039,0.06370075962626161,-1.139911100551942e-06,-0.00018935407217966787,0.120062127206262
control_only,S_het vs dominant_real_eigenvalue,0.03,29.0,-0.29825422501110604,0.11606476239982084,-0.2571428571428571,0.17810318213701742,-1.5658372836960874e-06,-0.00026508716305400466,0.0889555827369754
control_only,S_het vs dominant_real_eigenvalue,0.05,29.0,-0.210414518524338,0.2732551792928538,-0.17881773399014775,0.35334755973811516,-2.1223256696482646e-06,-0.0003794174992127815,0.044274269605828996
control_only,S_het vs reactivity,0.001,29.0,0.2804065780690198,0.1406545721795591,0.26009852216748763,0.17299282581121347,0.000523190575786385,0.21926916201561764,0.07862784902437733
control_only,S_het vs reactivity,0.0025,28.0,0.19202800222445743,0.3276094744020461,0.09742747673782157,0.6218646554725848,0.00035545917096782125,0.19002944354882267,0.03687475363831626
control_only,S_het vs reactivity,0.005,29.0,0.3457014694087035,0.06622906277847498,0.280295566502463,0.14081847701092023,0.0006085883309602627,0.2072142777563522,0.11950950595133668
control_only,S_het vs reactivity,0.0075,29.0,0.31970002226875877,0.09091245299478391,0.32758620689655166,0.08278682478282431,0.0006520747203514308,0.2013614207895919,0.10220810423864482
control_only,S_het vs reactivity,0.01,29.0,0.2531969482887004,0.18508952473805632,0.24187192118226594,0.20619579491974405,0.0005783130854993784,0.18339592283512743,0.06410869462271081
control_only,S_het vs reactivity,0.015,29.0,0.2269610448027434,0.23641752012368744,0.2645320197044334,0.16552253284806523,0.0006387146276927482,0.17558436286541323,0.05151131585795292
control_only,S_het vs reactivity,0.02,29.0,0.16256946935619185,0.3994632538339274,0.2157635467980295,0.26096364162004854,0.0004091519861984997,0.13715442573672146,0.02642883236675379
control_only,S_het vs reactivity,0.03,29.0,0.14615154626590263,0.4493458454614648,0.2576354679802955,0.17724418226448452,0.0004295524905097993,0.12449934807539022,0.021360274475914275
control_only,S_het vs reactivity,0.05,29.0,0.13841777222356763,0.47394655477582515,0.22709359605911325,0.2361365143925782,0.0005162841635316426,0.11835320776017581,0.01915947966733545
drought_only,S_Ftot vs dominant_real_eigenvalue,0.001,30.0,-0.3337026744864252,0.07152057616487104,-0.2640711902113459,0.15851210221673628,-1.5315450888187063e-07,1.6770770740447488e-05,0.1113574749593931
drought_only,S_Ftot vs dominant_real_eigenvalue,0.0025,30.0,-0.3296410341258445,0.07525644415262207,-0.2551724137931034,0.1735442551180174,-3.62926627470165e-07,3.95518600533026e-05,0.10866321137955633
drought_only,S_Ftot vs dominant_real_eigenvalue,0.005,30.0,-0.32043381773071433,0.08428159213788583,-0.2631813125695217,0.15997190124104096,-6.264392756212902e-07,6.608145872814852e-05,0.10267783154548062
drought_only,S_Ftot vs dominant_real_eigenvalue,0.0075,30.0,-0.3038215383837101,0.10262969950277656,-0.24582869855394882,0.19038286009853816,-7.703758862063474e-07,7.66903716600676e-05,0.09230752718584417
drought_only,S_Ftot vs dominant_real_eigenvalue,0.01,30.0,-0.29195646036477957,0.11746762901413864,-0.2502780867630701,0.1822281136018387,-9.181153110018042e-07,8.797035014781802e-05,0.08523857474873113
drought_only,S_Ftot vs dominant_real_eigenvalue,0.015,30.0,-0.2812916094536766,0.1321121683101725,-0.2449388209121246,0.1920438013514832,-1.2109868015451142e-06,0.00011116906133423941,0.07912496954903982
drought_only,S_Ftot vs dominant_real_eigenvalue,0.02,30.0,-0.2789909809500823,0.1354392140618477,-0.2489432703003337,0.18464837461449848,-1.4969312686446475e-06,0.00013489391191787842,0.07783596745148927
drought_only,S_Ftot vs dominant_real_eigenvalue,0.03,29.0,-0.2740674096240672,0.15023741757401604,-0.24433497536945803,0.20147109367017868,-2.0009468176595237e-06,0.00017330212542193907,0.07511294501804613
drought_only,S_Ftot vs dominant_real_eigenvalue,0.05,30.0,-0.26841903279630486,0.1515166096407386,-0.23648498331479423,0.20832630526821455,-2.874087270770446e-06,0.00023890451347219737,0.07204877716730375
drought_only,S_Ftot vs reactivity,0.001,30.0,0.5790166277780138,0.0008011034487545956,0.49321468298109006,0.005615419837793303,0.0006187961760382457,0.07151517844678142,0.3352602552434232
drought_only,S_Ftot vs reactivity,0.0025,30.0,0.5889544287572966,0.0006170632329359261,0.553281423804227,0.0015174782779786614,0.0005604577375954597,0.07053283449655917,0.346867319152834
drought_only,S_Ftot vs reactivity,0.005,30.0,0.5427795092424228,0.001941270354126346,0.4901001112347052,0.005972539175648982,0.0004928419048669654,0.0663268659084079,0.2946095956534456
drought_only,S_Ftot vs reactivity,0.0075,30.0,0.4672327481371742,0.009235623727585105,0.44382647385984425,0.014017835341076952,0.0004484458346317132,0.06061000354358145,0.21830644093181611
drought_only,S_Ftot vs reactivity,0.01,30.0,0.38476818974807525,0.035772019962786686,0.33392658509454953,0.07131888151686552,0.00040305607378135044,0.057597729581463676,0.14804655984201087
drought_only,S_Ftot vs reactivity,0.015,30.0,0.34185842183806353,0.06445401014059134,0.3210233592880979,0.0836800072526214,0.00038639382319404376,0.04214919441831616,0.1168671805816114
drought_only,S_Ftot vs reactivity,0.02,30.0,0.32244793781793546,0.08223989186378665,0.30634037819799775,0.09966978420021302,0.00037969589376231024,0.030220061549860275,0.10397267260303927
drought_only,S_Ftot vs reactivity,0.03,29.0,0.3239537392627277,0.08645768868998088,0.36748768472906396,0.04985916475112234,0.00038519457758754387,0.01181962024357961,0.10494602518230335
drought_only,S_Ftot vs reactivity,0.05,30.0,0.3360358453264579,0.0694404511092744,0.43270300333704115,0.016928808875929298,0.0003921427830750297,-0.010497591898057247,0.11292008934426714
drought_only,S_full vs dominant_real_eigenvalue,0.001,30.0,-0.3941847085696579,0.031128028255203288,-0.3423804226918799,0.06402098736064822,-1.577486420196295e-07,-3.19995568243812e-07,0.1553815844701461
