c,network_id,pair_id,Location,Site,Management,Treatment,total_flux,S_full,S_het,S_Ftot,dominant_real_eigenvalue,reactivity
0.0075,Yo_S4_In_C_d0,Yo_S4_In,Yo,S4,In,C,761.8478228489435,42.753883033939644,-113.53615655700266,159.2579238766829,-5.024690304826546e-05,0.14294531211551723
0.0075,Yo_S4_In_D_d0,Yo_S4_In,Yo,S4,In,D,443.1983965363006,31.641905651341453,-113.26834528019701,146.2564204200725,-6.927025249653467e-05,0.133672011641834
0.0075,Yo_S5_Ex_C_d0,Yo_S5_Ex,Yo,S5,Ex,C,1153.9733025004496,47.15019136354057,-120.55034901838776,169.22319148925092,-2.642708225937971e-05,0.15782014492674407
0.0075,Yo_S5_Ex_D_d0,Yo_S5_Ex,Yo,S5,Ex,D,702.5559529967378,50.56223514874235,-109.05590849492944,157.31340111432166,-6.934906154068939e-06,0.1546890236025146
0.0075,Yo_S5_In_C_d0,Yo_S5_In,Yo,S5,In,C,721.25737418994,39.71854526603167,-113.8858037139453,157.94390500680487,-4.6536638967165524e-05,0.12421517597462059
0.0075,Yo_S5_In_D_d0,Yo_S5_In,Yo,S5,In,D,769.3591577060463,50.23334000359104,-103.80146406185274,159.4933897345299,-8.927465067059157e-05,0.13285659010605994
0.01,De_S1_Ex_C_d0,De_S1_Ex,De,S1,Ex,C,491.01082202672643,44.637953492777214,-96.4460555349279,148.71518804014215,-4.344608480428045e-05,0.13105021843751583
0.01,De_S1_Ex_D_d0,De_S1_Ex,De,S1,Ex,D,391.5752985690879,43.537779212006065,-97.2654193528916,143.28426793072663,-6.165957464599881e-05,0.12088598433164605
0.01,De_S1_In_C_d0,De_S1_In,De,S1,In,C,652.358775678581,35.86752073931008,-116.61111424714653,155.53427232071076,-2.5623912023914003e-05,0.1408057809430417
0.01,De_S1_In_D_d0,De_S1_In,De,S1,In,D,960.4223687960525,45.85865567815504,-117.91419889721905,164.8169557248108,-6.26658169705391e-05,0.13842132689780925
0.01,De_S2_Ex_C_d0,De_S2_Ex,De,S2,Ex,C,1199.7139996544379,52.341518586469974,-112.86690720731082,170.15612336997165,-3.872674705286964e-05,0.1139613944500779
0.01,De_S2_Ex_D_d0,De_S2_Ex,De,S2,Ex,D,799.5995582607695,58.04048824879043,-102.66592861968114,160.4186652042199,-3.912698513294728e-05,0.12700973609776164
0.01,De_S2_In_C_d0,De_S2_In,De,S2,In,C,772.0874718252294,41.31154127535875,-114.52329845613764,159.57834837790298,-1.784399716601331e-05,0.11935304164787035
0.01,De_S2_In_D_d0,De_S2_In,De,S2,In,D,711.5851853740166,39.373900817489115,-114.9890996129298,157.61988328368173,-1.8126050690435162e-05,0.1305432189427804
0.01,De_S3_Ex_C_d0,De_S3_Ex,De,S3,Ex,C,1284.054396394173,44.268324126891955,-124.6001022548255,171.7866683554923,-3.073711904189463e-05,0.09356861197849647
0.01,De_S3_Ex_D_d0,De_S3_Ex,De,S3,Ex,D,905.3151629842088,47.198310470434535,-113.07596219932336,163.39879510722278,-0.00010297773752492991,0.11383719203543381
0.01,De_S3_In_C_d0,De_S3_In,De,S3,In,C,1163.4442075944407,43.36853660577062,-121.75837365322403,169.4193607049922,-8.910691534746865e-06,0.14134131270398007
0.01,De_S3_In_D_d0,De_S3_In,De,S3,In,D,1931.7839433508657,44.507372440182806,-132.23278545728033,181.5887802709254,-8.141262807766728e-06,0.12866802186665244
0.01,De_S4_Ex_C_d0,De_S4_Ex,De,S4,Ex,C,912.7814652676839,45.07003188572664,-117.09408201925397,163.5959158315687,-4.446512038254571e-05,0.10124548887968073
0.01,De_S4_Ex_D_d0,De_S4_Ex,De,S4,Ex,D,1212.321740261526,62.69717006615105,-104.31324619017445,170.40702224789695,-0.0002455225828239549,0.09410764428339877
